Alue,Maa,pintaala,vaesto,mediaaniika,vaestonkasvu,syntyvyys,lapsikuolleisuus,elinodote,liikalihavuus,nuor_tyot,bkt/vaesto,internet,lentokentat,inflaatio,vaestotiheys
Aasia,Afghanistan,652230.0,34940837.0,19.0,2.37,37.5,108.5,52.1,5.5,17.6,2000.0,3531770.0,43.0,5.0,53.571342931174605
Eurooppa,Albania,28748.0,3057220.0,33.4,0.3,13.2,11.6,78.6,21.7,31.9,12500.0,2016516.0,4.0,2.0,106.345484903298
Afrikka,Algeria,2381740.0,41657488.0,28.3,1.63,21.5,18.9,77.2,27.4,25.7,15200.0,17291463.0,157.0,5.6,17.490359149193402
Afrikka,Angola,1246700.0,30355880.0,15.9,3.49,43.7,65.8,60.6,8.2,39.4,6800.0,2622403.0,176.0,29.8,24.3489853212481
E-Amerikka,Argentina,2780400.0,44694198.0,31.9,0.89,16.5,9.5,77.5,28.3,22.6,20900.0,30786889.0,1138.0,25.7,16.0747367285283
Aasia,Armenia,29743.0,3038217.0,35.6,-0.25,12.6,12.3,75.1,20.2,36.3,9500.0,1891775.0,11.0,0.9,102.148976229701
Australia,Australia,7741220.0,23470145.0,38.8,1.01,12.0,4.2,82.4,29.0,12.6,50400.0,20288409.0,480.0,2.0,3.0318405884343798
Eurooppa,Austria,83871.0,8793370.0,44.2,0.42,9.5,3.4,81.7,20.1,9.8,50000.0,7346055.0,52.0,2.2,104.84398659846701
Eurooppa,Azerbaijan,86600.0,10046516.0,31.7,0.83,15.3,23.0,73.0,19.9,13.4,17500.0,7720502.0,37.0,13.0,116.010577367206
P-Amerikka,Bahamas,13880.0,332634.0,32.3,0.79,15.1,11.1,72.9,31.6,25.8,32400.0,261853.0,61.0,1.4,23.964985590778102
Aasia,Bahrain,760.0,1442659.0,32.5,2.19,13.1,8.8,79.1,29.8,5.3,49000.0,1351326.0,4.0,1.4,1898.2355263157897
Aasia,Bangladesh,148460.0,159453001.0,27.1,1.02,18.6,30.5,73.7,3.6,12.8,4200.0,28499324.0,18.0,5.6,1074.04688805065
P-Amerikka,Barbados,430.0,293131.0,38.9,0.26,11.6,10.0,75.7,23.1,29.6,18600.0,231883.0,1.0,4.4,681.7
Eurooppa,Belarus,207600.0,9527543.0,40.3,-0.24,10.0,3.6,73.2,24.5,9.3,18900.0,6805786.0,65.0,6.0,45.893752408477795
Eurooppa,Belgium,30528.0,11570762.0,41.5,0.67,11.3,3.4,81.2,22.1,19.3,46600.0,9870734.0,41.0,2.2,379.021291928721
P-Amerikka,Belize,22966.0,385854.0,23.7,1.8,22.9,12.0,74.7,24.1,15.3,8300.0,157735.0,47.0,1.1,16.801097274231502
Afrikka,Benin,112622.0,11340504.0,18.4,2.68,34.5,51.5,62.7,9.6,5.6,2300.0,1288336.0,6.0,0.1,100.695281561329
Aasia,Bhutan,38394.0,766397.0,28.1,1.05,17.0,30.3,71.1,6.4,10.7,9000.0,313347.0,2.0,5.8,19.961374173047897
E-Amerikka,Bolivia,1098581.0,11306341.0,24.6,1.48,21.6,34.2,69.8,20.2,6.9,7600.0,4354678.0,855.0,2.8,10.2917681991587
Eurooppa,Bosnia and Herzegovina,51197.0,3849891.0,42.5,-0.17,8.7,5.4,77.1,17.9,45.8,12800.0,2677502.0,24.0,1.2,75.1975897025216
Afrikka,Botswana,581730.0,2249104.0,24.9,1.52,21.7,28.6,63.8,18.9,36.0,17000.0,869610.0,74.0,3.3,3.8662334760112103
E-Amerikka,Brazil,8515770.0,208846892.0,32.4,0.71,13.9,16.9,74.3,22.1,28.5,15600.0,122841218.0,4093.0,3.4,24.5247220157426
Aasia,Brunei,5765.0,450565.0,30.5,1.55,16.9,9.3,77.5,14.1,28.9,78900.0,306000.0,1.0,-0.2,78.1552471812663
Eurooppa,Bulgaria,110879.0,7057504.0,43.0,-0.63,8.5,8.3,74.8,25.0,12.9,21800.0,4274328.0,68.0,1.2,63.6505018984659
Afrikka,Burkina Faso,274200.0,19742715.0,17.4,2.76,36.9,54.7,61.8,5.6,8.7,1900.0,2723950.0,23.0,0.4,72.00114879649891
Aasia,Burma,676578.0,55622506.0,28.5,0.89,17.7,34.4,68.6,5.8,4.0,6300.0,14264308.0,64.0,4.0,82.2115203272941
Afrikka,Burundi,27830.0,11844520.0,17.1,3.23,40.9,57.4,61.4,5.4,2.9,700.0,574236.0,7.0,16.6,425.602587136184
Afrikka,Cabo Verde,4033.0,568373.0,25.8,1.32,19.7,21.1,72.7,11.8,32.5,7000.0,266562.0,9.0,0.8,140.930572774609
Aasia,Cambodia,181035.0,16449519.0,25.7,1.48,22.5,46.1,65.2,3.9,1.1,4000.0,4080372.0,16.0,2.9,90.86375010357109
Afrikka,Cameroon,475440.0,25640965.0,18.6,2.54,35.0,49.8,59.4,11.4,6.3,3700.0,6090201.0,33.0,0.6,53.9310217903416
P-Amerikka,Canada,9984670.0,35881659.0,42.4,0.72,10.2,4.5,82.0,29.4,11.1,48400.0,31770034.0,1467.0,1.6,3.5936750037807994
E-Amerikka,Chile,756102.0,17925262.0,34.8,0.75,13.4,6.4,79.1,28.0,18.1,24600.0,11650840.0,481.0,2.2,23.7074653948806
E-Amerikka,Colombia,1138910.0,48168996.0,30.4,0.97,15.8,13.2,76.2,22.3,18.7,14400.0,27452550.0,836.0,4.3,42.2939442098146
Afrikka,Congo,2344858.0,85281024.0,18.8,2.33,32.8,66.7,58.1,6.7,8.7,800.0,3016000.0,198.0,41.5,36.36937673837821
P-Amerikka,Costa Rica,51100.0,4987142.0,31.7,1.13,15.3,7.8,78.9,25.7,20.6,16900.0,3217277.0,161.0,1.6,97.59573385518591
Afrikka,Cote d'Ivoire,322463.0,26260582.0,19.9,2.3,30.1,62.6,60.1,10.3,3.9,3900.0,6297676.0,27.0,0.8,81.43750445787579
Eurooppa,Croatia,56594.0,4270480.0,43.3,-0.51,8.8,9.1,76.3,24.4,27.4,24700.0,3135949.0,69.0,1.1,75.45817577835109
P-Amerikka,Cuba,110860.0,11116396.0,41.8,-0.27,10.6,4.4,78.9,24.6,6.1,12300.0,4334022.0,133.0,5.5,100.27418365506
Eurooppa,Cyprus,9251.0,1237088.0,37.2,1.27,11.2,7.7,79.0,21.8,24.7,37200.0,915036.0,15.0,0.7,133.724786509567
Eurooppa,Czechia,78867.0,10686269.0,42.5,0.1,9.2,2.6,78.9,26.0,7.9,35500.0,8141303.0,128.0,2.4,135.49734362914802
Eurooppa,Denmark,43094.0,5809502.0,41.9,0.59,10.9,3.2,81.0,19.7,11.0,50100.0,5424169.0,80.0,1.1,134.809996751288
P-Amerikka,Dominican Republic,48670.0,10298756.0,27.3,0.99,18.9,22.7,71.3,27.6,13.5,17000.0,6504998.0,36.0,3.3,211.603780562975
E-Amerikka,Ecuador,283561.0,16498502.0,28.1,1.25,17.6,15.9,77.1,19.9,7.9,11500.0,8693739.0,432.0,0.4,58.1832551020768
Afrikka,Egypt,1001450.0,99413317.0,23.9,2.38,28.8,18.3,73.2,32.0,29.6,12700.0,38.0,83.0,23.5,99.2693764042139
P-Amerikka,El Salvador,21041.0,6187271.0,27.6,0.25,16.1,16.3,75.1,24.6,10.1,8000.0,1785254.0,68.0,1.0,294.05783945630003
Eurooppa,Estonia,45228.0,1244288.0,43.0,-0.6,9.9,3.8,77.0,21.2,12.1,31700.0,1097921.0,18.0,3.7,27.5114530821615
Afrikka,Eswatini,17364.0,1087200.0,23.2,0.82,25.8,46.6,57.2,16.5,47.1,10100.0,414724.0,14.0,6.2,62.61230131306151
Afrikka,Ethiopia,1104300.0,108386391.0,18.0,2.83,36.0,48.3,63.0,4.5,25.2,2200.0,15731741.0,57.0,9.9,98.1494077696278
Australia,Fiji,18274.0,926276.0,29.2,0.56,18.2,9.3,73.2,30.2,15.4,9800.0,425680.0,28.0,3.4,50.6881908722776
Eurooppa,Finland,338145.0,5537364.0,42.6,0.33,10.7,2.5,81.1,22.2,20.1,44500.0,4822132.0,148.0,0.8,16.3757086456993
Eurooppa,France,643801.0,67364357.0,41.5,0.37,12.1,3.2,82.0,21.6,22.3,44100.0,57226585.0,464.0,1.2,104.635371799671
Afrikka,Gabon,267667.0,2119036.0,20.5,2.73,26.5,32.9,68.0,15.0,35.7,18100.0,835408.0,44.0,2.7,7.9166875259184
Afrikka,"Gambia, The",11300.0,2092731.0,21.3,1.99,28.6,58.4,65.4,10.3,13.1,2600.0,371785.0,1.0,8.0,185.197433628319
Aasia,Georgia,69700.0,4003000.0,38.3,0.01,12.1,14.7,76.6,21.7,30.5,10700.0,2464107.0,22.0,6.0,57.431850789096096
Eurooppa,Germany,357022.0,80457737.0,47.4,-0.17,8.6,3.4,80.9,22.3,6.8,50800.0,72365643.0,539.0,1.7,225.357924721726
Afrikka,Ghana,238533.0,28102471.0,21.2,2.16,30.2,34.1,67.4,10.9,15.2,4700.0,9328018.0,10.0,12.4,117.81376581018101
Eurooppa,Greece,131957.0,10761523.0,44.9,-0.07,8.3,4.5,80.8,24.9,43.6,27800.0,7443016.0,77.0,1.1,81.5532559849042
P-Amerikka,Guatemala,108889.0,16581273.0,22.5,1.72,24.6,23.3,71.8,21.2,5.0,8200.0,5241952.0,291.0,4.4,152.276841554243
Afrikka,Guinea,245857.0,11855411.0,19.0,2.75,36.4,55.3,62.1,7.7,1.0,2200.0,1185148.0,16.0,8.9,48.22075840834311
E-Amerikka,Guyana,214969.0,740685.0,26.7,0.48,15.4,29.5,68.9,20.2,21.6,8100.0,262425.0,117.0,2.0,3.44554331089599
P-Amerikka,Honduras,112090.0,9182766.0,23.3,1.56,22.0,16.7,71.3,21.4,7.9,5600.0,2667978.0,103.0,3.9,81.92315103934341
Eurooppa,Hungary,93028.0,9825704.0,42.7,-0.26,8.9,4.8,76.3,26.4,10.7,29600.0,7826695.0,41.0,2.4,105.620931332502
Eurooppa,Iceland,103000.0,343518.0,36.7,1.08,13.6,2.1,83.1,21.9,7.9,52200.0,329967.0,96.0,1.8,3.33512621359223
Aasia,India,3287263.0,1296834042.0,28.1,1.14,18.7,37.8,69.1,3.9,10.1,7200.0,374328160.0,346.0,3.6,394.50267350072096
Aasia,Indonesia,1904569.0,262787403.0,30.5,0.83,15.9,21.9,73.2,6.9,15.6,12400.0,65525226.0,673.0,3.8,137.977360232158
Aasia,Iran,1648195.0,83024745.0,30.8,1.19,17.4,15.5,74.2,25.8,28.4,20100.0,36070000.0,319.0,9.6,50.3731324266849
Aasia,Iraq,438317.0,40194216.0,20.2,2.5,30.0,37.5,74.9,30.4,25.6,16700.0,8098401.0,102.0,0.1,91.70124818339241
