name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
God's Plan,Drake,0.754,0.449,-9.211,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169
SAD!,XXXTENTACION,0.74,0.613,-4.88,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023
rockstar (feat. 21 Savage),Post Malone,0.5870000000000001,0.535,-6.09,0.0898,0.11699999999999999,6.56e-05,0.131,0.14,159.847
Psycho (feat. Ty Dolla $ign),Post Malone,0.7390000000000001,0.5589999999999999,-8.011000000000001,0.11699999999999999,0.58,0.0,0.11199999999999999,0.439,140.124
In My Feelings,Drake,0.835,0.626,-5.832999999999999,0.125,0.0589,5.9999999999999995e-05,0.396,0.35,91.03
Better Now,Post Malone,0.68,0.563,-5.843,0.0454,0.354,0.0,0.136,0.374,145.028
I Like It,Cardi B,0.816,0.726,-3.998,0.129,0.099,0.0,0.37200000000000005,0.65,136.048
One Kiss (with Dua Lipa),Calvin Harris,0.7909999999999999,0.862,-3.24,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994
IDGAF,Dua Lipa,0.836,0.544,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999
FRIENDS,Marshmello,0.626,0.88,-2.384,0.0504,0.205,0.0,0.128,0.534,95.079
Havana,Camila Cabello,0.765,0.523,-4.333,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988
Lucid Dreams,Juice WRLD,0.511,0.5660000000000001,-7.23,0.2,0.349,0.0,0.34,0.218,83.90299999999999
Nice For What,Drake,0.586,0.909,-6.474,0.0705,0.0891,0.000109,0.11900000000000001,0.757,93.39399999999999
Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,-6.825,0.0505,0.568,0.0,0.13,0.44799999999999995,124.959
The Middle,Zedd,0.753,0.657,-3.0610000000000004,0.0449,0.171,0.0,0.11199999999999999,0.43700000000000006,107.01
All The Stars (with SZA),Kendrick Lamar,0.698,0.633,-4.946000000000001,0.0597,0.0605,0.000194,0.0926,0.552,96.92399999999999
no tears left to cry,Ariana Grande,0.6990000000000001,0.713,-5.507000000000001,0.0594,0.04,3.11e-06,0.294,0.354,121.993
X,Nicky Jam,0.595,0.773,-4.736000000000001,0.0549,0.0364,0.00108,0.33399999999999996,0.711,180.07299999999998
Moonlight,XXXTENTACION,0.9209999999999999,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009
Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,-7.495,0.27,0.0010400000000000001,5.8599999999999995e-05,0.105,0.595,140.02200000000002
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,0.809,-4.0569999999999995,0.0474,0.19399999999999998,0.0,0.165,0.55,92.213
Te Bot? - Remix,Nio Garcia,0.903,0.675,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507
Mine,Bazzi,0.71,0.789,-3.8739999999999997,0.0722,0.0161,2.77e-06,0.451,0.7170000000000001,142.929
Youngblood,5 Seconds of Summer,0.596,0.8540000000000001,-5.114,0.46299999999999997,0.0169,0.0,0.124,0.152,120.274
New Rules,Dua Lipa,0.762,0.7,-6.021,0.0694,0.0026100000000000003,1.56e-05,0.153,0.608,116.073
Shape of You,Ed Sheeran,0.825,0.652,-3.1830000000000003,0.0802,0.581,0.0,0.0931,0.9309999999999999,95.977
Love Lies (with Normani),Khalid,0.708,0.648,-5.626,0.0449,0.0956,0.0,0.134,0.33799999999999997,143.955
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.642,0.772,-6.61,0.0848,0.0476,0.0,0.0646,0.589,153.995
Jocelyn Flores,XXXTENTACION,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.43700000000000006,134.02100000000002
Perfect,Ed Sheeran,0.599,0.44799999999999995,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05
Taste (feat. Offset),Tyga,0.884,0.5589999999999999,-7.442,0.12,0.0236,0.0,0.10099999999999999,0.342,97.994
Solo (feat. Demi Lovato),Clean Bandit,0.737,0.636,-4.546,0.0437,0.0441,6.659999999999999e-05,0.35,0.565,105.005
I Fall Apart,Post Malone,0.556,0.5379999999999999,-5.4079999999999995,0.0382,0.0689,0.0,0.196,0.29100000000000004,143.95
Nevermind,Dennis Lloyd,0.5920000000000001,0.691,-8.354,0.196,0.156,9.78e-06,0.418,0.0796,99.976
?chame La Culpa,Luis Fonsi,0.726,0.889,-3.655,0.0429,0.0328,0.0,0.0925,0.649,96.024
Eastside (with Halsey & Khalid),benny blanco,0.56,0.68,-7.648,0.321,0.555,0.0,0.11599999999999999,0.319,89.391
Never Be the Same,Camila Cabello,0.637,0.713,-4.333,0.0747,0.18100000000000002,0.000637,0.13699999999999998,0.243,129.923
