Vuodenaika,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC),Pvm
Talvi,-0.2935483870967742,23.35483870967742,-14.974193548387099,-11.554838709677417,-18.79032258064516,01-2010
Talvi,1.3357142857142859,41.464285714285715,-12.996428571428572,-8.450000000000001,-18.45,02-2010
Kevät,1.3806451612903226,64.51612903225806,-7.351612903225805,-2.367741935483872,-12.741935483870968,03-2010
Kevät,0.5166666666666667,23.3,2.2733333333333334,5.966666666666665,-1.0766666666666667,04-2010
Kevät,0.8096774193548387,-0.967741935483871,10.93548387096774,16.046666666666667,5.573333333333333,05-2010
Kesä,0.7766666666666668,-1.0,12.406666666666665,17.080000000000002,6.650000000000001,06-2010
Kesä,2.1741935483870964,-1.0,18.68387096774193,24.18064516129032,13.722580645161294,07-2010
Kesä,2.1967741935483875,-1.0,13.480645161290322,18.006451612903227,9.40967741935484,08-2010
Syksy,1.7733333333333334,-1.0,8.986666666666668,12.889999999999997,5.38,09-2010
Syksy,0.6064516129032258,-0.8709677419354839,3.8096774193548386,6.103333333333335,0.8966666666666666,10-2010
Syksy,0.0866666666666666,5.9,-5.583333333333333,-3.0533333333333337,-8.426666666666666,11-2010
Talvi,-0.37419354838709684,17.806451612903224,-13.851612903225808,-10.36774193548387,-17.94193548387097,12-2010
Talvi,0.9870967741935485,36.0,-9.44838709677419,-5.945161290322582,-13.100000000000001,01-2011
Talvi,-0.17857142857142855,54.107142857142854,-16.332142857142856,-11.382142857142856,-20.792857142857144,02-2011
Kevät,0.1451612903225806,58.903225806451616,-4.048387096774194,0.6903225806451613,-9.203225806451611,03-2011
Kevät,-0.34,16.8,2.9966666666666657,7.473333333333334,-1.0000000000000002,04-2011
Kevät,0.603225806451613,-1.0,8.619354838709679,13.754838709677422,2.9967741935483874,05-2011
Kesä,1.9933333333333332,-1.0,15.786666666666665,21.589285714285715,10.525,06-2011
Kesä,4.067741935483871,-1.0,18.235483870967748,22.94193548387097,13.393548387096772,07-2011
Kesä,1.816129032258065,-1.0,14.522580645161288,19.267741935483873,10.499999999999998,08-2011
Syksy,1.6400000000000001,-1.0,10.990000000000002,14.703333333333335,7.586666666666669,09-2011
Syksy,1.2161290322580645,-1.0,5.151612903225806,7.83225806451613,2.393548387096774,10-2011
Syksy,0.47333333333333344,-0.43333333333333335,1.8366666666666662,4.659999999999999,-1.0166666666666668,11-2011
Talvi,1.838709677419355,15.096774193548388,-0.3064516129032258,1.2000000000000004,-2.1580645161290324,12-2011
Talvi,0.30967741935483867,37.096774193548384,-9.096774193548386,-6.82258064516129,-11.974193548387097,01-2012
Talvi,1.096551724137931,56.48275862068966,-11.710344827586205,-8.320689655172414,-15.762068965517239,02-2012
Kevät,0.10322580645161293,60.67741935483871,-2.6999999999999997,1.8354838709677421,-7.0,03-2012
Kevät,0.9066666666666667,43.733333333333334,0.36000000000000004,4.466666666666667,-3.7433333333333327,04-2012
Kevät,1.7387096774193542,-1.0,7.825806451612903,12.451612903225808,3.2032258064516133,05-2012
Kesä,1.3399999999999996,-1.0,12.023333333333332,16.150000000000002,7.923333333333334,06-2012
Kesä,2.9806451612903224,-1.0,16.064516129032253,20.89677419354839,11.22903225806452,07-2012
Kesä,1.0870967741935482,-1.0,13.496774193548388,18.529032258064515,8.758064516129032,08-2012
Syksy,1.4466666666666668,-1.0,8.976666666666667,12.886666666666668,5.586666666666667,09-2012
Syksy,2.332258064516129,0.03225806451612903,2.9870967741935486,5.4129032258064536,0.4096774193548388,10-2012
Syksy,0.8400000000000001,0.06666666666666667,0.01666666666666649,1.8566666666666667,-2.1766666666666667,11-2012
Talvi,0.6064516129032257,13.838709677419354,-12.429032258064519,-9.632258064516131,-15.667741935483871,12-2012
Talvi,0.596774193548387,32.38709677419355,-8.109677419354838,-4.99032258064516,-11.916129032258064,01-2013
Talvi,0.23928571428571432,49.67857142857143,-5.617857142857141,-2.55,-9.492857142857144,02-2013
Kevät,-0.5193548387096775,55.03225806451613,-10.112903225806452,-3.6903225806451614,-16.519354838709674,03-2013
Kevät,0.45000000000000007,28.9,0.8033333333333335,5.816666666666666,-4.45,04-2013
Kevät,0.19032258064516125,-1.0,11.529032258064515,16.835483870967742,5.506451612903226,05-2013
Kesä,3.1899999999999995,-1.0,16.20666666666667,20.90666666666666,11.726666666666667,06-2013
Kesä,1.9709677419354836,-1.0,15.558064516129036,19.787096774193554,11.22258064516129,07-2013
Kesä,0.2806451612903226,-1.0,14.854838709677422,20.229032258064525,10.280645161290327,08-2013
Syksy,0.5066666666666666,-1.0,10.919999999999998,15.523333333333335,6.963333333333333,09-2013
Syksy,1.7225806451612908,-0.5161290322580645,3.8258064516129027,7.216129032258063,0.3516129032258062,10-2013
Syksy,1.9966666666666668,2.7,-0.013333333333333256,2.5799999999999996,-2.733333333333334,11-2013
Talvi,2.3580645161290326,14.225806451612904,-1.9161290322580649,0.7129032258064514,-4.974193548387097,12-2013
Talvi,-0.09354838709677418,14.225806451612904,-10.374193548387098,-7.74516129032258,-12.635483870967741,01-2014
Talvi,1.178571428571429,25.785714285714285,-1.2607142857142857,0.22142857142857136,-3.310714285714286,02-2014
Kevät,0.25806451612903225,17.0,-0.29354838709677417,3.248387096774194,-3.8483870967741938,03-2014
Kevät,-0.23333333333333336,3.7333333333333334,2.3699999999999997,6.913333333333332,-2.353333333333333,04-2014
Kevät,0.6838709677419355,-0.9354838709677419,8.703225806451613,13.770967741935484,3.4774193548387102,05-2014
Kesä,0.8733333333333333,-1.0,11.946666666666665,16.223333333333333,7.213333333333334,06-2014
Kesä,3.674193548387097,-1.0,19.193548387096776,25.029032258064515,12.82258064516129,07-2014
Kesä,2.2290322580645165,-1.0,15.606451612903221,20.819354838709682,10.970967741935485,08-2014
Syksy,-0.29666666666666663,-1.0,10.063333333333333,14.663333333333336,5.5600000000000005,09-2014
Syksy,2.229032258064516,-0.03225806451612903,1.432258064516129,4.625806451612903,-1.4806451612903226,10-2014
Syksy,1.3766666666666667,2.3,-1.2100000000000004,0.75,-3.3899999999999997,11-2014
Talvi,1.238709677419355,8.096774193548388,-3.5161290322580645,-1.2677419354838713,-6.0290322580645155,12-2014
Talvi,2.377419354838709,37.935483870967744,-7.4161290322580635,-4.212903225806453,-10.412903225806453,01-2015
Talvi,0.2642857142857142,51.642857142857146,-2.200000000000001,0.19285714285714284,-6.007142857142858,02-2015
Kevät,1.0032258064516126,40.54838709677419,-0.20322580645161295,3.43225806451613,-3.674193548387096,03-2015
Kevät,-0.22333333333333327,16.866666666666667,3.143333333333333,7.250000000000001,-0.4566666666666666,04-2015
Kevät,2.0870967741935487,-1.0,8.4,13.064516129032256,4.245161290322582,05-2015
Kesä,3.8666666666666663,-1.0,11.713333333333333,15.603333333333332,7.846666666666667,06-2015
Kesä,1.567741935483871,-1.0,14.545161290322579,18.716129032258067,10.061290322580646,07-2015
Kesä,1.8387096774193548,-1.0,14.848387096774193,20.219354838709677,9.209677419354838,08-2015
